element_type,osmid,amenity,brand,operator,geometry,ref,roof:shape,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,craft,name,opening_hours,website,nodes,building,shop,toilets,toilets:wheelchair,wheelchair,building:levels,roof:levels,layer,phone,source,addr:suburb,contact:phone,brand:wikidata,brand:wikipedia,fax,start_date,loc_name,emergency,disused:amenity,disused:name,nohousenumber,contact:email,contact:website,service,leisure,email,roof:orientation,building:use,roof:height,fixme,contact:fax,area,note,ways,type
way,27596575,,,,"POLYGON ((6.6492336 49.7563435, 6.6493381 49.7564598, 6.6493758 49.7564438, 6.6493874 49.7564678, 6.6493552 49.7564811, 6.6495529 49.7566912, 6.6495249 49.7567074, 6.6497926 49.756965, 6.6498165 49.7569604, 6.6499353 49.7570835, 6.6507897 49.7567428, 6.6511719 49.7565945, 6.6512771 49.7565521, 6.6513141 49.7565372, 6.6508998 49.7560949, 6.6508701 49.7560632, 6.6507607 49.7560555, 6.650661 49.7560491, 6.6505814 49.756041, 6.6502764 49.7560141, 6.6502093 49.7560062, 6.6501861 49.7560035, 6.6501302 49.7560273, 6.6500812 49.7560453, 6.6500095 49.7560767, 6.6499221 49.7560982, 6.6498282 49.7561087, 6.6497327 49.7561091, 6.6496664 49.7561128, 6.6496164 49.756121, 6.6495763 49.7561279, 6.6495385 49.7561409, 6.6494705 49.7561665, 6.6493992 49.7561955, 6.6493033 49.7562329, 6.6493109 49.7562416, 6.6493581 49.7562964, 6.6492973 49.7563193, 6.6492336 49.7563435))",,,Trier,DE,3,54290,Ostallee,,Alleencenter,Mo-Sa 07:00-22:00,,"[303036777, 638967824, 1403855999, 5058811149, 5058811150, 5058811151, 5058811156, 5058811157, 5058811152, 303036778, 638973290, 638973291, 6022872550, 4682652969, 6321572909, 303036780, 1403855944, 1403855940, 1403855938, 1403855935, 3352366581, 303036781, 638967806, 1403855945, 1403855951, 638967807, 638967808, 638967809, 1403855957, 1403855962, 638967810, 638967811, 1403855970, 638967814, 638967821, 3352366573, 638967822, 638967823, 303036777]",commercial,mall,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50281384,,,,"POLYGON ((6.6232017 49.7546587, 6.6232655 49.7557422, 6.6236907 49.7557318, 6.6236364 49.7546482, 6.6232017 49.7546587))",,,Trier,DE,22,54294,Hornstraße,,,,,"[10931471131, 10931471130, 10931471129, 10931471133, 10931471131]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,50287273,,,,"POLYGON ((6.6513347 49.7567765, 6.6513348 49.7567751, 6.6511719 49.7565945, 6.6507897 49.7567428, 6.6508693 49.7568277, 6.6511319 49.7567232, 6.6511684 49.7567704, 6.6513347 49.7567765))",,flat,,,,,,,,,,"[638973000, 638973293, 638973291, 638973290, 638973292, 638973294, 638973001, 638973000]",commercial,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,59610422,,,,"POLYGON ((6.6526084 49.7578043, 6.6527032 49.7577659, 6.6526836 49.7577482, 6.6527057 49.7577394, 6.6527227 49.7577326, 6.6527968 49.7577023, 6.6528861 49.7576654, 6.6527879 49.7575664, 6.6526986 49.7576033, 6.6524296 49.757332, 6.6523887 49.7573503, 6.6523722 49.757333, 6.6522128 49.7574024, 6.6526084 49.7578043))",,flat,,,,,,,,,,"[739442374, 441779828, 6022801855, 7503979062, 2409876168, 739442375, 7503979065, 7503979064, 7503979066, 739442376, 6022801853, 6022801854, 739442377, 739442374]",commercial,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,73032641,,,,"POLYGON ((6.6242183 49.7568372, 6.6244661 49.7567986, 6.6243137 49.7563902, 6.6242924 49.7563331, 6.6240445 49.7563717, 6.6242183 49.7568372))",,,Trier,,64,54294,Aachener Straße,,Möbelum,Mo-Sa 09:00-19:00,http://www.moebelum.de/,"[866762947, 866762931, 866762929, 866762950, 866762953, 866762947]",commercial,furniture,,,,,,,+49 651 9937799,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258944,,,,"POLYGON ((6.6114084 49.7284421, 6.6116101 49.7285721, 6.611793 49.7284611, 6.6119905 49.7285879, 6.6122416 49.7284245, 6.6118314 49.7281612, 6.6114084 49.7284421))",,flat,,,,,,,,,,"[5347000670, 1115783393, 1115782291, 1115782768, 1115783284, 1115783593, 5347000670]",commercial,,,,,2,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258948,,,,"POLYGON ((6.601572 49.726305, 6.6017461 49.7261951, 6.6014893 49.7260251, 6.6013251 49.7261288, 6.6013289 49.7261313, 6.6014891 49.7262373, 6.6015154 49.7262547, 6.6015096 49.7262585, 6.601536 49.726276, 6.601532 49.7262785, 6.601572 49.726305))",,flat,Trier,DE,20,54294,Niederkircher Straße,,,,,"[6925549936, 1115783484, 1115782399, 6925549935, 6925549934, 1115782533, 1115783110, 6925549939, 6925549938, 6925549937, 6925549936]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258953,,,,"POLYGON ((6.6121593 49.728686, 6.6125403 49.728931, 6.6127905 49.7287711, 6.6124176 49.7285235, 6.6121593 49.728686))",,flat,,,,,,,,,,"[1115782888, 1115783308, 1115782208, 1115782633, 1115782888]",commercial,,,,,2,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,96258992,,,,"POLYGON ((6.6004082 49.7247064, 6.6015039 49.7254441, 6.6021498 49.7250409, 6.6028914 49.7245779, 6.6029247 49.7246003, 6.6037577 49.7240802, 6.6037126 49.7240498, 6.6039502 49.7239015, 6.603815 49.7238105, 6.6038693 49.7237765, 6.6035855 49.7235855, 6.603985 49.7233361, 6.6038215 49.723067, 6.6037526 49.7231095, 6.6036145 49.7231946, 6.6031624 49.7234678, 6.6028227 49.723696, 6.6027293 49.7237459, 6.6028542 49.72383, 6.6030181 49.7239403, 6.602461 49.7242881, 6.6023045 49.7241828, 6.6019129 49.7239191, 6.6011629 49.7243873, 6.6010457 49.7243085, 6.6004082 49.7247064))",,flat,Trier,DE,27,54294,Niederkircher Straße,winery,Schloss Wachenheim,,,"[1115783599, 1115782370, 1639495341, 1639461854, 1639461874, 1639461660, 1639461652, 1115782919, 1639461550, 1639461523, 1115783468, 1115782389, 1115782950, 10829445509, 1115783402, 1115782306, 1115782790, 1639461512, 1639461557, 1115783305, 1115782204, 1639461716, 1115782821, 1639461808, 1639461781, 1115783599]",commercial,,,,,2,,,,,Euren,+49 651 99880,,,,,,,,,,,,,,,,,,,,,,,
way,111609812,,,,"POLYGON ((6.6703996 49.768455, 6.6709811 49.7686858, 6.6710081 49.7686611, 6.6711956 49.7687349, 6.6713343 49.7685892, 6.6710778 49.7684822, 6.6711024 49.7684577, 6.6706607 49.7682809, 6.6706365 49.7683064, 6.6703968 49.7682126, 6.6702532 49.7683604, 6.6704232 49.7684292, 6.6703996 49.768455))",,,Trier,DE,33,54292,Metternichstraße,,,,,"[1271154010, 1271154012, 4701618861, 4701618860, 1271154013, 4701618863, 4701618862, 1271154020, 1271154021, 1271154023, 1271154025, 1271154027, 1271154010]",commercial,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,
way,113971135,,,,"POLYGON ((6.6110005 49.7329875, 6.6112411 49.7332272, 6.6113309 49.7331896, 6.6114358 49.7331456, 6.6117275 49.7334387, 6.612018 49.7333179, 6.6119184 49.7332111, 6.6114216 49.7327186, 6.611131 49.7328394, 6.6111966 49.7329053, 6.6110005 49.7329875))",,flat,,,,,,,,,,"[1291637140, 1291636869, 5953529311, 1291636749, 1291637206, 1291636852, 5913217556, 1291636864, 1291636910, 1291637045, 1291637140]",commercial,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,121475033,,,,"POLYGON ((6.6655348 49.7712083, 6.6658374 49.7710298, 6.6659597 49.7711168, 6.6659 49.771152, 6.6659464 49.771185, 6.6658883 49.7712193, 6.6659382 49.7712547, 6.6658811 49.7712884, 6.6659267 49.7713208, 6.6657176 49.7714441, 6.665627 49.7713797, 6.6655761 49.7714098, 6.665459 49.7713265, 6.6655677 49.7712624, 6.6655791 49.7712705, 6.6656028 49.7712566, 6.6655348 49.7712083))",,,Trier,DE,95,54292,Herzogenbuscher Straße,,,,,"[1359775004, 1359775005, 1359775006, 2031893518, 2031893522, 2031893533, 2031893534, 2031893540, 1359775007, 1359775008, 1359775011, 1359775012, 1359775013, 2031893535, 2031893537, 1359775014, 1359775004]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,124322996,,,,"POLYGON ((6.6585228 49.7634347, 6.6588096 49.7635943, 6.6584744 49.7638457, 6.6585216 49.763872, 6.6583431 49.7640059, 6.6582217 49.7639383, 6.6582541 49.763914, 6.6580414 49.7637957, 6.6582772 49.7636189, 6.6585228 49.7634347))",,flat,Trier,DE,125,54292,Franz-Georg-Straße,,,,,"[1384066177, 1384066210, 1384066158, 1384066199, 1384066180, 1384066167, 1384066202, 1384066176, 5320175887, 1384066177]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125173912,,,,"POLYGON ((6.6321923 49.7528015, 6.6322983 49.7527756, 6.6322637 49.7527051, 6.6322363 49.7526494, 6.6322841 49.752637, 6.6321633 49.7524147, 6.6320761 49.7524339, 6.6320933 49.7524714, 6.6319515 49.7524908, 6.6319689 49.7525359, 6.6319099 49.7525477, 6.6318611 49.7525574, 6.6314748 49.7526347, 6.6314436 49.7525636, 6.6314252 49.7525654, 6.6312161 49.7525496, 6.6310102 49.7524887, 6.6308398 49.752441, 6.6306946 49.7523986, 6.6306821 49.7523949, 6.6305776 49.7524957, 6.631309 49.7527102, 6.6313576 49.7527961, 6.6315985 49.7527376, 6.6316628 49.752757, 6.6316927 49.7527137, 6.6319249 49.7526598, 6.6319533 49.7526964, 6.6321039 49.752658, 6.6321489 49.7527311, 6.6321923 49.7528015))",,flat,,,,,,,,,,"[1390949662, 3677510026, 6935297665, 1390949651, 1390949650, 1390949626, 1390949629, 1390949632, 1390949635, 1390949642, 1390949644, 1390949645, 1390949652, 1390949649, 1390949647, 1390949646, 1390949633, 6915679156, 6915679142, 6915679141, 1390949638, 1390949657, 1390949661, 1390949658, 1390949659, 1390949656, 1390949653, 1390949655, 1390949654, 6935297664, 1390949662]",commercial,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,125300862,,,,"POLYGON ((6.6353578 49.751752, 6.6354579 49.7518554, 6.6353978 49.75188, 6.6353876 49.751889, 6.6353138 49.75192, 6.6352969 49.751922, 6.635232 49.7519501, 6.6352025 49.7519175, 6.6351886 49.7519143, 6.6351765 49.7519096, 6.6351659 49.751903, 6.6351581 49.7518928, 6.6351569 49.7518822, 6.635159 49.7518735, 6.6351268 49.7518401, 6.635209 49.7518085, 6.6352134 49.7518, 6.6352243 49.7517897, 6.6352444 49.7517826, 6.6352634 49.7517815, 6.6352809 49.7517811, 6.6353578 49.751752))",,mansard,Trier,DE,8,54290,Gerty-Spies-Straße,,,,,"[1392090813, 1392090818, 4567351283, 4567351285, 4567351284, 4567351282, 1392090837, 4567351270, 4567351271, 4567351272, 4567351273, 4567351274, 4567351275, 4567351269, 1392090814, 4567351276, 4567351278, 4567351280, 4567351281, 4567351279, 4567351277, 1392090813]",commercial,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,126515379,,,,"POLYGON ((6.6368944 49.7533903, 6.6368841 49.7534676, 6.6368589 49.7535566, 6.6367757 49.7538413, 6.6368205 49.7538756, 6.6367375 49.7539154, 6.6366697 49.7539496, 6.6366417 49.7539331, 6.6365091 49.7539146, 6.6365346 49.7538432, 6.63658 49.7538468, 6.6366674 49.753539, 6.6366971 49.753445, 6.6367198 49.7534476, 6.6367449 49.7534471, 6.6367645 49.7534379, 6.6367804 49.7534224, 6.6367872 49.7533895, 6.6368944 49.7533903))",,flat,Trier,DE,5;7;9,54290,Stresemannstraße,,,,,"[1402352033, 4577647261, 1402352131, 1402352386, 1402352426, 4577647210, 4577647214, 4577647207, 1402352478, 1402352370, 1402352383, 1402352114, 1402352059, 4577647209, 4577647208, 1402352061, 1402352057, 1126030356, 1402352033]",commercial,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,126520343,,,,"POLYGON ((6.6388462 49.7533531, 6.638933 49.7533653, 6.6392648 49.753379, 6.639302 49.7533528, 6.6392986 49.7533279, 6.639155 49.7531319, 6.6390397 49.7531741, 6.6388281 49.7532505, 6.6388729 49.75331, 6.6388462 49.7533531))",,quadruple_saltbox,Trier,DE,1,54290,Fahrstraße,,Sinn,Mo-Sa 09:30-19:00,,"[1402379966, 1402379967, 1402379973, 1402379964, 3331645229, 1402379935, 1402379944, 1402379950, 1402379954, 1402379966]",commercial,clothes,,no,yes,4,1,,+49 651 94890,,,,Q1291650,de:Sinn (Unternehmen),+49 651 9489100,1910,,,,,,,,,,,,,,,,,,,
way,126700511,,,,"POLYGON ((6.6515595 49.7578151, 6.6515224 49.757781, 6.6514648 49.7578028, 6.6513501 49.7576861, 6.651224 49.757558, 6.651125 49.7574574, 6.6513485 49.7573706, 6.6515417 49.7575709, 6.6517142 49.7577532, 6.6515595 49.7578151))",,flat,Trier,DE,8,54292,Bahnhofsplatz,,Heitkamp-Haus,,,"[1403856271, 4489594200, 4489594199, 4489594201, 1403856178, 4846543467, 4846543466, 3803720875, 4846543465, 1403856271]",commercial,,,,,6,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,
way,126897536,,,,"POLYGON ((6.6463393 49.7531469, 6.6462989 49.7530922, 6.6463078 49.7530899, 6.6462514 49.753015, 6.6464648 49.7529485, 6.6465087 49.7530035, 6.6465461 49.7529916, 6.6465937 49.7530578, 6.6464693 49.7530998, 6.6464764 49.7531099, 6.6464029 49.7531333, 6.6463997 49.7531289, 6.6463393 49.7531469))",,mansard,Trier,DE,46,54290,Ostallee,,,,,"[1405792075, 5061554626, 5061554625, 1405792014, 1405791986, 1405792010, 1405792002, 1405792036, 1405792054, 1405792068, 5061554624, 5061554623, 1405792075]",commercial,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128037148,,,,"POLYGON ((6.6409261 49.7520286, 6.6411055 49.7519881, 6.6411027 49.7519803, 6.6410876 49.7519829, 6.6410773 49.7519581, 6.6410858 49.7519566, 6.6410348 49.7518361, 6.641039 49.7518355, 6.6410449 49.751823, 6.6410412 49.7518082, 6.6410316 49.7517954, 6.6410193 49.7517894, 6.6410125 49.7517913, 6.6409819 49.7517134, 6.6408863 49.7517304, 6.6408815 49.7517185, 6.6408046 49.7517315, 6.6408339 49.7518031, 6.6408204 49.7518075, 6.6408124 49.7518211, 6.640809 49.7518311, 6.6408126 49.75185, 6.6408244 49.7518674, 6.6408356 49.7518789, 6.6408538 49.7518841, 6.6408662 49.751882, 6.6409261 49.7520286))",,mansard,Trier,DE,65-67,54290,Weberbach,,,,,"[1415799754, 1415799743, 4580884450, 4580884449, 4580884448, 4580884447, 4580884451, 4578288543, 4578288545, 4578288546, 4578288547, 4578288544, 4580884452, 1415019592, 1415799705, 1415799704, 1415799707, 4578288549, 4578288551, 4578288553, 4578288555, 4578288556, 4578288554, 4578288552, 4578288550, 4578288548, 1415799754]",commercial,,,,yes,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128083806,,,,"POLYGON ((6.6284241 49.7516786, 6.6284111 49.7514103, 6.6286603 49.7514087, 6.6286613 49.7515577, 6.6285869 49.7515585, 6.6285949 49.7516594, 6.6285961 49.7516747, 6.6285973 49.7516899, 6.6284241 49.7516786))",,flat,,,,,,,,,,"[1416190511, 1416190413, 4575460251, 1225804031, 4575460250, 1225804022, 4575461193, 1416190513, 1416190511]",commercial,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128083860,,,,"POLYGON ((6.6285545 49.7518657, 6.6284273 49.7518691, 6.6284659 49.7522856, 6.6284801 49.752285, 6.6286514 49.7522775, 6.6286409 49.7521805, 6.6286216 49.7520119, 6.6285376 49.7520051, 6.6285545 49.7518657))",,flat,Trier,DE,15,54290,Johanniterufer,,,,,"[1416190731, 1416190736, 1416190940, 6908485359, 1416190938, 1416190896, 1416190805, 6906555117, 1416190731]",commercial,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128215872,,,,"POLYGON ((6.6399072 49.7576076, 6.6400566 49.7575469, 6.6402192 49.7574721, 6.6402771 49.7575313, 6.6401588 49.7575797, 6.6402335 49.7576574, 6.6401866 49.7576766, 6.6401725 49.7576741, 6.6401515 49.7576525, 6.6400534 49.7576933, 6.640014 49.7576615, 6.6399774 49.7576779, 6.6399072 49.7576076))",,mansard,,,,,,,Bernard-Massard Sektkellerei,,,"[1417402041, 4584294491, 4584220818, 1417402038, 1417402040, 1417402045, 1417402053, 1417402044, 1417402056, 1417402054, 4584220787, 1417402050, 1417402041]",commercial,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128497574,,,,"POLYGON ((6.6746263 49.7744145, 6.6747819 49.7744533, 6.6748963 49.7742621, 6.6747407 49.7742233, 6.6746263 49.7744145))",,,,,,,,,,,,"[1419988641, 1419988644, 1419988635, 1419988631, 1419988641]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,128650744,,,,"POLYGON ((6.6435366 49.7578756, 6.6433857 49.7578736, 6.6434102 49.7580074, 6.6434126 49.7580187, 6.6433744 49.7580453, 6.6432781 49.7580734, 6.6432493 49.7579748, 6.6432273 49.7578998, 6.6432163 49.7578729, 6.6431757 49.7577738, 6.6436292 49.7577871, 6.643647 49.7578018, 6.6437183 49.7579172, 6.6436142 49.7579383, 6.6435366 49.7578756))",,hipped,Trier,DE,6;7,54290,Glockenstraße,,,,,"[1421203753, 1421203756, 1421203787, 5299738203, 1421203790, 1421203794, 4988341378, 4988341333, 1421203754, 1421203748, 1421203751, 4988341328, 1421203760, 1421203766, 1421203753]",commercial,,,,,3,1,,,,,,,,,,Dasbach Haus,,,,,,,,,,,,,,,,,,
way,129369798,,,,"POLYGON ((6.6381237 49.755324, 6.6380992 49.7553316, 6.6380723 49.7553323, 6.6380501 49.755318, 6.6380174 49.7552931, 6.6380128 49.7552705, 6.6380338 49.7552539, 6.6380207 49.7552445, 6.6379761 49.7552186, 6.6378947 49.7551594, 6.6380151 49.7551033, 6.6380414 49.7551266, 6.6381175 49.7551833, 6.6382167 49.755253, 6.6384643 49.7554268, 6.6385126 49.7554607, 6.6385282 49.7554724, 6.6384168 49.7555383, 6.6382782 49.7554353, 6.6381762 49.7553608, 6.6381237 49.755324))",,gambrel,,,,,,,alta4,,,"[2987949185, 2987949184, 2987949183, 2987949182, 2987949181, 2987949180, 2967337430, 2967351103, 1427371156, 1427371111, 1404739863, 3269465423, 2967351104, 3300995370, 3269465424, 1427371339, 246830361, 1427371410, 1427371337, 1427371281, 2987949185]",commercial,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129523275,,,,"POLYGON ((6.6313653 49.7510748, 6.6314246 49.7510669, 6.6314085 49.7510076, 6.631398 49.7510075, 6.6313982 49.7509992, 6.6313958 49.7509919, 6.6313899 49.7509829, 6.6313806 49.7509784, 6.6313701 49.7509758, 6.6313551 49.7509765, 6.6313362 49.7509787, 6.6313302 49.7509687, 6.6310596 49.7510062, 6.6311135 49.751118, 6.6311165 49.7511243, 6.6312363 49.7511086, 6.6312493 49.7511414, 6.6313787 49.7511239, 6.6313653 49.7510748))",,hipped,Trier,,12,54290,Kaiserstraße,,ISSTAS+THEES Ingenieurgesellschaft,,http://www.isstas.de,"[1428884661, 1428884660, 4575345852, 4575345850, 4575345851, 4575345849, 4575345848, 1428884641, 4575345847, 4575345846, 1428884643, 1428884640, 1428884647, 1428884667, 4575345845, 1428884665, 1428884675, 1428884671, 1428884661]",commercial,,,,,2,2,,+49-651-99489-0,,,,,,,,,,,,,,,,,,,,,,,,,,
way,129523323,,,,"POLYGON ((6.6312534 49.7513887, 6.6311983 49.7513147, 6.6311991 49.7513039, 6.6311632 49.7512225, 6.6312321 49.7512069, 6.6312492 49.7512358, 6.6312674 49.7512309, 6.6313282 49.7513675, 6.6313222 49.7513696, 6.6312534 49.7513887))",,hipped,Trier,,14,54290,Lorenz-Kellner-Straße,,,,,"[1428884720, 4570235650, 1428884707, 1696384518, 1428884690, 1428884698, 1428884695, 1696384528, 1428884716, 1428884720]",commercial,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,130051996,,,,"POLYGON ((6.6490285 49.7569898, 6.6492397 49.7572128, 6.6490535 49.7572807, 6.648853 49.7570531, 6.6488688 49.7570468, 6.6490285 49.7569898))",,mansard,Trier,DE,6,54290,Balduinstraße,,,,,"[1433585537, 1433585577, 1433585581, 1433585556, 1433585552, 1433585537]",commercial,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,144979897,,Deutsches Rotes Kreuz,DRK Kreisverband Trier-Saarburg e.V.,"POLYGON ((6.6885301 49.8092294, 6.6886304 49.8091944, 6.6886042 49.8091631, 6.6887408 49.8091155, 6.6888346 49.8092274, 6.6889567 49.8091848, 6.6888007 49.8089969, 6.6887567 49.8089457, 6.6885149 49.8090296, 6.6884471 49.8090533, 6.6883971 49.8090707, 6.6885301 49.8092294))",TR08,,Trier,,33,54293,Franziskusstraße,,Rettungswache Ehrang,,,"[1584537509, 1584537505, 1584537494, 1584537493, 1584537510, 1584537507, 4426558202, 1584537490, 4699245287, 4699245592, 1584537492, 1584537509]",commercial,,,,,,,,,,,,Q694104,de:Deutsches Rotes Kreuz,,,,ambulance_station,,,,,,,,,,,,,,,,,
way,145705072,,,,"POLYGON ((6.6247563 49.7573983, 6.6249913 49.7573455, 6.6247697 49.7569315, 6.6245347 49.7569842, 6.6247563 49.7573983))",,,,,,,,,,,,"[1590765429, 1590765425, 1590765358, 1590765378, 1590765429]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,150375624,,,,"POLYGON ((6.6793884 49.7906293, 6.6794358 49.7906177, 6.6794293 49.7906066, 6.6795309 49.7905819, 6.6796928 49.7908585, 6.6794683 49.7909132, 6.6793745 49.7907565, 6.6793247 49.7907687, 6.6792844 49.7906963, 6.679266 49.7907008, 6.6792447 49.7906644, 6.679257 49.7906614, 6.6793884 49.7906293))",,,Trier,,100,54293,Ehranger Straße,,RoJa Personalservice GmbH,,,"[1632958025, 1632958020, 1632958018, 1632958005, 1632958109, 1632958112, 1632958074, 1632958079, 1632958063, 1632958066, 1632958058, 1632958056, 1632958025]",commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
